age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,previous,y
49,business,divorced,1,no,-347,yes,no,Unknown,26,may,2,0,no
30,others,single,2,no,-97,yes,no,Unknown,4,jun,2,0,no
35,others,married,2,no,513,yes,no,cellular,18,jul,1,0,no
34,business,married,2,no,471,yes,no,cellular,8,may,3,2,no
47,business,married,2,no,136,yes,no,Unknown,20,may,1,0,no
38,business,married,2,no,976,yes,yes,Unknown,19,may,2,0,no
43,business,married,2,no,59,no,no,Unknown,13,may,2,0,no
37,others,married,2,no,1328,yes,no,cellular,14,jul,3,0,no
59,others,married,1,no,495,no,no,Unknown,5,jun,2,0,no
40,business,married,3,no,1213,no,no,cellular,4,aug,1,0,no
27,others,single,2,no,126,yes,yes,cellular,4,jul,4,0,no
33,others,married,2,no,114,no,yes,Unknown,3,jul,1,0,yes
42,others,divorced,1,no,651,no,no,Unknown,17,jun,1,0,no
35,others,married,2,no,2048,yes,no,cellular,11,may,1,2,no
41,others,married,2,no,433,yes,no,cellular,16,apr,1,0,no
35,business,married,2,no,1309,yes,no,cellular,18,nov,3,0,no
29,business,married,3,no,16,yes,no,cellular,16,jul,6,0,no
58,others,divorced,2,no,0,no,no,cellular,28,jan,2,0,no
57,others,married,1,no,964,no,no,Unknown,11,jun,5,0,no
40,business,married,2,no,9110,yes,no,cellular,12,may,6,3,no
56,others,single,2,no,751,yes,no,cellular,15,may,8,5,no
31,others,single,3,no,381,yes,no,cellular,9,feb,2,0,no
28,others,married,3,no,232,yes,yes,cellular,20,apr,1,0,no
31,others,single,2,no,166,yes,no,cellular,11,may,1,0,no
26,others,single,2,no,18,yes,no,cellular,28,jul,3,0,no
51,others,married,1,no,40,yes,no,cellular,13,may,1,1,no
34,others,divorced,2,no,675,no,no,cellular,25,jul,2,0,no
54,business,married,3,no,831,yes,yes,telephone,2,jul,1,2,no
42,business,divorced,3,no,0,no,no,Unknown,20,jun,2,0,no
32,others,single,2,yes,0,no,yes,cellular,16,jul,1,0,no
29,business,married,3,no,805,no,no,cellular,28,jan,1,0,no
34,business,divorced,3,no,157,yes,no,cellular,12,aug,2,0,no
36,others,divorced,2,no,5957,yes,no,cellular,18,nov,2,0,no
48,others,married,3,no,4,no,yes,cellular,23,jul,5,0,no
40,business,married,2,no,-54,yes,no,cellular,8,may,1,0,no
29,others,single,2,no,1055,no,no,cellular,23,sep,1,1,yes
30,others,single,1,no,138,yes,no,cellular,20,apr,1,0,no
32,business,single,3,no,2223,no,no,Unknown,9,dec,1,0,no
33,business,single,3,no,12686,yes,no,cellular,5,may,2,2,no
35,others,married,2,no,4508,yes,no,cellular,18,nov,1,0,yes
55,business,married,3,no,13578,no,no,cellular,29,oct,2,0,no
36,others,single,2,no,248,yes,no,Unknown,7,may,2,0,no
